"class_name","method_name","method_qualified","dependency_kind","type_name","type_qualified","file_path","line_number"
"firebase::auth::User","GetTokenLastResult","firebase::auth::User::GetTokenLastResult","return","Future<basic_string<char, char_traits<char>, allocator<char>>>","Future<basic_string<char, char_traits<char>, allocator<char>>>","auth/src/user.cc",22
"firebase::auth::PhoneAuthProvider::ForceResendingToken","operator=","firebase::auth::PhoneAuthProvider::ForceResendingToken::operator=","return","ForceResendingToken &","ForceResendingToken &","auth/src/desktop/auth_providers/phone_auth_provider.cc",42
"firebase::auth::PhoneAuthProvider::Listener","operator=","firebase::auth::PhoneAuthProvider::Listener::operator=","return","Listener &","Listener &","auth/src/include/firebase/auth/credential.h",516
"firebase::auth::User::UserProfile","operator=","firebase::auth::User::UserProfile::operator=","return","UserProfile &","UserProfile &","auth/src/include/firebase/auth/user.h",166
"firebase::auth::Auth::FetchProvidersResult","operator=","firebase::auth::Auth::FetchProvidersResult::operator=","return","FetchProvidersResult &","FetchProvidersResult &","auth/src/include/firebase/auth.h",138
"firebase::auth::Credential","operator=","firebase::auth::Credential::operator=","return","Credential &","Credential &","auth/src/desktop/credential_desktop.cc",36
"firebase::auth::Credential","provider","firebase::auth::Credential::provider","return","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/credential_desktop.cc",50
"firebase::auth::PhoneAuthOptions","operator=","firebase::auth::PhoneAuthOptions::operator=","return","PhoneAuthOptions &","PhoneAuthOptions &","auth/src/include/firebase/auth/credential.h",626
"firebase::auth::PhoneAuthProvider","operator=","firebase::auth::PhoneAuthProvider::operator=","return","PhoneAuthProvider &","PhoneAuthProvider &","auth/src/include/firebase/auth/credential.h",479
"firebase::auth::PhoneAuthProvider","GetInstance","firebase::auth::PhoneAuthProvider::GetInstance","return","PhoneAuthProvider &","PhoneAuthProvider &","auth/src/desktop/auth_providers/phone_auth_provider.cc",86
"firebase::auth::PhoneAuthProvider","GetCredential","firebase::auth::PhoneAuthProvider::GetCredential","return","PhoneAuthCredential","PhoneAuthCredential","auth/src/desktop/auth_providers/phone_auth_provider.cc",77
