"class_name","field_name","dependency_kind","type_name","type_qualified","file_path","line_number"
"firebase::auth::UserInfoImpl","uid","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/user_desktop.h",43
"firebase::auth::UserInfoImpl","email","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/user_desktop.h",46
"firebase::auth::UserInfoImpl","provider_id","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/user_desktop.h",55
"firebase::auth::UserInfoImpl","photo_url","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/user_desktop.h",52
"firebase::auth::UserInfoImpl","display_name","field","basic_string<char, char_traits<char>, allocator<char>>","basic_string<char, char_traits<char>, allocator<char>>","auth/src/desktop/user_desktop.h",49
"firebase::auth::CurrentUserBlockListener","semaphore_","field","Semaphore","Semaphore","auth/src/desktop/auth_desktop.cc",521
"firebase::auth::AuthDataHandle<void, GetOobConfirmationCodeRequest>","callback","field","..(*)(..)","..(*)(..)","auth/src/desktop/auth_data_handle.h",48
"firebase::auth::AuthDataHandle<void, GetOobConfirmationCodeRequest>","request","field","unique_ptr<GetOobConfirmationCodeRequest, default_delete<GetOobConfirmationCodeRequest>>","unique_ptr<GetOobConfirmationCodeRequest, default_delete<GetOobConfirmationCodeRequest>>","auth/src/desktop/auth_data_handle.h",47
"firebase::auth::AuthDataHandle<void, GetOobConfirmationCodeRequest>","promise","field","Promise<void>","Promise<void>","auth/src/desktop/auth_data_handle.h",45
"firebase::auth::AuthDataHandle<void, GetOobConfirmationCodeRequest>","auth_data","field","AuthData *","AuthData *","auth/src/desktop/auth_data_handle.h",44
"firebase::auth::AuthDataHandle<FetchProvidersResult, CreateAuthUriRequest>","callback","field","..(*)(..)","..(*)(..)","auth/src/desktop/auth_data_handle.h",48
"firebase::auth::AuthDataHandle<FetchProvidersResult, CreateAuthUriRequest>","request","field","unique_ptr<CreateAuthUriRequest, default_delete<CreateAuthUriRequest>>","unique_ptr<CreateAuthUriRequest, default_delete<CreateAuthUriRequest>>","auth/src/desktop/auth_data_handle.h",47
"firebase::auth::AuthDataHandle<FetchProvidersResult, CreateAuthUriRequest>","promise","field","Promise<FetchProvidersResult>","Promise<FetchProvidersResult>","auth/src/desktop/auth_data_handle.h",45
"firebase::auth::AuthDataHandle<FetchProvidersResult, CreateAuthUriRequest>","auth_data","field","AuthData *","AuthData *","auth/src/desktop/auth_data_handle.h",44
"firebase::auth::Promise<FetchProvidersResult>","handle_","field","SafeFutureHandle<FetchProvidersResult>","SafeFutureHandle<FetchProvidersResult>","auth/src/desktop/promise.h",81
"firebase::auth::Promise<FetchProvidersResult>","future_manager_","field","ReferenceCountedFutureImpl &","ReferenceCountedFutureImpl &","auth/src/desktop/promise.h",79
"firebase::auth::Promise<FetchProvidersResult>","future_","field","Future<FetchProvidersResult>","Future<FetchProvidersResult>","auth/src/desktop/promise.h",82
"firebase::auth::Promise<AuthResult>","handle_","field","SafeFutureHandle<AuthResult>","SafeFutureHandle<AuthResult>","auth/src/desktop/promise.h",81
"firebase::auth::Promise<AuthResult>","future_manager_","field","ReferenceCountedFutureImpl &","ReferenceCountedFutureImpl &","auth/src/desktop/promise.h",79
"firebase::auth::Promise<AuthResult>","future_","field","Future<AuthResult>","Future<AuthResult>","auth/src/desktop/promise.h",82
